no,q21,q22,q23,q24,q25,q26
262,1,2,2,3,1,2
263,3,2,1,1,1,2
264,1,2,1,1,1,2
265,1,2,1,1,2,2
266,1,2,1,3,1,2
268,1,2,2,1,1,2
269,2,2,1,1,1,2
270,1,2,2,3,1,2
271,1,2,2,1,2,2
272,1,2,1,1,2,1
273,1,2,1,1,1,2
273,1,2,2,1,1,2
274,1,2,2,1,1,2
275,1,2,2,1,2,1
276,2,2,1,1,1,2
277,1,2,2,3,3,3
278,1,2,2,1,2,1
279,1,2,2,1,1,2
280,2,2,2,1,2,1
282,1,2,2,1,2,1
284,1,2,2,1,1,2
286,1,2,2,1,2,2
287,1,2,1,1,2,1
288,1,2,1,1,1,2
290,2,1,2,1,2,1
292,3,2,3,1,1,2
293,1,2,1,1,1,2
294,1,2,2,2,2,2
295,2,1,2,1,2,1
296,2,2,2,2,2,2
297,2,1,2,1,2,1
298,1,2,1,1,1,2
299,1,2,1,1,1,2
300,1,2,2,1,1,2
301,1,2,2,1,1,2
302,1,1,1,2,2,1
303,1,2,1,1,1,2
304,2,1,2,1,2,1
305,1,2,1,1,1,2
306,1,2,1,1,1,2
307,1,2,1,1,1,2
309,1,2,1,1,1,2
310,1,2,2,1,1,2
311,1,1,2,1,2,1
312,2,2,1,1,1,2
313,1,2,2,3,1,2
314,2,2,2,1,2,1
315,1,2,1,1,1,2
316,1,2,1,1,1,2
318,1,2,2,1,1,2
322,1,2,2,1,1,2
323,1,2,2,1,1,2
330,1,1,1,1,1,2
333,1,2,1,1,1,2
335,1,2,2,1,1,2
336,1,2,2,1,2,1
343,1,2,1,1,2,2
346,2,2,2,1,1,2
347,1,2,1,1,2,1
348,1,2,1,3,1,2
349,1,2,2,1,2,1
351,3,3,3,3,3,3
352,1,2,2,1,1,2
353,1,2,2,3,1,2
357,2,2,1,1,1,2
359,1,2,1,1,1,2
377,1,2,1,2,1,2
385,1,2,1,1,1,2
394,2,2,1,1,1,2
395,1,2,2,1,1,2
397,3,2,1,1,1,2
400,1,2,1,3,1,2
402,1,2,1,1,1,2
