no,q50,q51,q51_14,q52,q53,q54,q55,q56
213,5,6,,4,1,2,2,2
215,5,7,,4,1,2,3,3
217,1,13,,4,0,2,3,3
218,3,8,,4,1,2,3,3
219,4,6,,4,1,2,4,4
220,3,6,,4,1,1,2,2
222,5,9,,4,1,1,3,3
223,2,6,,3,0,1,3,3
224,1,12,,3,1,1,1,1
225,4,11,,6,1,2,3,3
227,3,10,,4,1,2,4,3
228,2,8,,4,0,2,3,3
229,5,2,,6,0,2,3,2
230,4,5,,4,0,1,3,2
231,4,8,,2,0,2,3,3
232,3,10,,6,1,1,2,2
233,5,3,,4,1,1,2,2
234,2,8,,4,1,1,2,2
235,5,10,,4,1,1,2,2
236,5,7,,4,0,2,4,4
237,2,4,,2,1,1,1,1
238,3,1,,1,1,2,3,3
239,3,6,,4,1,2,3,3
241,3,6,,4,1,1,2,2
242,1,10,,2,1,2,3,3
243,2,3,,6,1,1,3,3
245,1,13,,2,0,2,3,3
246,3,4,,4,1,1,2,2
247,3,6,,4,1,2,3,3
248,2,6,,4,1,1,3,2
249,4,7,,2,1,1,2,3
250,5,2,,2,0,2,4,3
251,5,8,,2,1,1,4,3
252,1,13,,4,0,2,3,3
253,2,5,,4,1,1,3,3
254,1,10,,2,1,1,1,2
256,1,12,,3,1,2,3,3
257,5,8,,4,1,2,4,3
258,4,11,,4,1,1,2,2
260,3,10,,2,0,1,3,2
261,3,8,,4,1,1,2,1
262,3,6,,4,1,1,2,2
263,5,2,,4,1,2,2,3
264,5,5,,4,0,2,4,4
265,1,10,,4,1,1,2,3
266,2,6,,4,1,1,1,2
268,3,4,,4,1,2,3,3
269,5,7,,4,1,1,2,2
270,4,6,,4,1,2,2,3
271,5,12,,3,1,1,3,3
272,2,4,,4,0,2,3,3
273,3,11,,2,1,1,3,3
273,3,6,,4,1,2,4,4
274,4,6,,4,1,1,2,2
275,2,8,,4,1,2,3,2
276,3,13,,4,0,2,2,3
277,3,6,,4,0,1,1,1
278,2,6,,1,0,2,4,4
279,4,10,,6,1,1,3,3
280,4,6,,4,1,2,2,2
282,3,2,,4,1,2,3,4
284,3,3,,4,0,1,4,3
286,2,2,,4,1,2,2,2
287,3,6,,4,1,1,3,3
288,2,11,,2,1,2,3,3
290,1,13,,4,1,2,4,4
292,1,12,,3,1,1,3,3
293,3,13,,4,1,2,2,2
294,3,7,,4,1,1,3,2
295,2,8,,4,0,2,3,3
296,2,14,보안직,4,0,2,3,3
297,1,8,,4,1,2,3,4
298,3,11,,4,1,2,3,3
299,1,10,,4,1,2,2,2
300,2,6,,2,1,2,4,4
301,4,10,,4,1,1,3,2
302,1,14,기초상활수급자,1,1,1,2,2
303,3,10,,4,1,1,1,2
304,5,4,,4,1,1,3,3
305,3,11,,4,1,2,3,3
306,1,12,,3,1,1,4,4
307,4,7,,2,0,2,2,3
309,1,11,,3,1,1,3,3
310,3,4,,4,1,1,1,1
311,3,6,,4,1,2,2,3
312,1,12,,3,1,2,3,2
313,4,6,,4,1,1,2,2
314,2,6,,4,1,2,3,3
315,1,12,,5,1,2,3,4
316,3,4,,4,0,2,3,3
318,3,7,,4,1,1,2,2
322,5,5,,4,1,1,2,3
323,5,7,,4,1,2,3,3
330,3,8,,2,1,1,3,3
333,1,12,,3,1,2,4,3
335,2,3,,4,1,1,2,2
336,3,6,,4,1,2,2,1
343,2,2,,4,1,2,3,3
346,1,6,,6,1,1,3,2
347,3,2,,4,1,1,2,2
348,2,4,,6,1,1,2,2
349,3,2,,4,1,2,3,3
351,3,12,,5,0,2,4,4
352,2,7,,4,1,2,1,3
353,2,14,보건,4,1,1,1,1
357,2,12,,3,1,2,3,3
359,2,3,,6,1,1,2,2
377,3,4,,4,1,1,1,1
385,1,12,,3,1,2,3,3
394,2,4,,4,1,1,3,3
395,4,6,,4,1,2,3,3
397,3,6,,6,1,1,1,2
400,1,12,,5,1,1,3,3
402,2,11,,4,1,2,3,3
