no,q1,q2_1,q3,q4,q5
305,1,51,4,4,9
306,1,23,1,1,3
307,0,59,4,4,1
309,1,54,4,4,8
310,1,50,4,4,7
311,0,35,2,2,8
312,1,27,1,1,1
313,1,55,4,4,4
314,1,49,3,3,13
315,0,26,1,1,12
316,1,68,5,4,1
318,0,36,2,2,13
322,0,49,3,3,7
323,0,49,3,3,7
330,0,44,3,3,1
333,1,22,1,1,15
335,1,29,1,1,4
336,0,41,3,3,14
343,1,28,1,1,3
346,1,26,1,1,4
347,0,27,1,1,1
348,1,29,1,1,9
349,1,39,2,2,11
351,0,26,1,1,2
352,0,30,2,2,6
353,1,22,1,1,8
357,1,20,1,1,6
359,1,35,2,2,15
377,1,28,1,1,4
385,1,21,1,1,1
394,1,25,1,1,2
395,1,37,2,2,8
397,1,29,1,1,6
400,1,26,1,1,12
402,1,32,2,2,8
