Moderator_Level,Moderator_Value,Simple_Slope,Std_Error,T_Value,P_Value,Significant
low,-25.548989967862262,1.1663195625030915,0.0477714881481105,24.41455369543942,0.0,True
mean,0.0,1.1659218371498599,0.047734115349387075,24.42533665107152,0.0,True
high,25.548989967862262,1.1655241117966282,0.0477714881481105,24.397902535149058,0.0,True
