Fit_Index,Value,Interpretation
CFI,1.0013861668591242,Excellent
TLI,1.0020792502886862,Excellent
RMSEA,0.0,Excellent
AIC,7.999999906493195,N/A
BIC,22.815129805117998,N/A
DoF,6.0,N/A
