Moderator_Level,Moderator_Value,Simple_Slope,Std_Error,T_Value,P_Value,Significant
low,-4.87477835167262,1.5245716848842952,0.04541255333617333,33.571591396731684,0.0,True
mean,0.0,1.5274395884065757,0.04524172000113737,33.76174885411466,0.0,True
high,4.87477835167262,1.5303074919288562,0.04541255333617333,33.697895835112426,0.0,True
