Variable,Estimate,Std_Error,Z_Value,P_Value,Std_Estimate,Significant
health_concern,0.30106237814481146,0.052908150784959945,5.690283513456368,1.2682861427748549e-08,,True
perceived_price,0.4002380818971137,0.030343048112438677,13.19043757241553,0.0,,True
health_concern_x_perceived_price,0.00010193402408130034,8.503766705669605e-05,1.1986926077669393,0.230647493487796,,False
