combination,independent,dependent,moderator,interaction_coefficient,p_value,significant,n_observations,cfi,rmsea,analysis_time,status
perceived_benefit_x_purchase_intention_to_health_concern,perceived_benefit,health_concern,purchase_intention,-9.901731461032606e-05,0.28166701219333734,False,300,1.001433363673468,0.0,0.08870267868041992,success
perceived_benefit_x_perceived_price_to_health_concern,perceived_benefit,health_concern,perceived_price,-7.982928195206013e-05,0.3646762692406422,False,300,1.001543544737706,0.0,0.0364680290222168,success
perceived_benefit_x_nutrition_knowledge_to_health_concern,perceived_benefit,health_concern,nutrition_knowledge,-0.0007459267127881317,0.15538562227868735,False,300,1.0018141334191744,0.0,0.04976511001586914,success
purchase_intention_x_perceived_benefit_to_health_concern,purchase_intention,health_concern,perceived_benefit,-9.880761005579373e-05,0.28266179770482736,False,300,1.001433353983777,0.0,0.034512996673583984,success
purchase_intention_x_perceived_price_to_health_concern,purchase_intention,health_concern,perceived_price,-4.58941429101875e-05,0.345136311770883,False,300,1.0014889344089752,0.0,0.032419681549072266,success
purchase_intention_x_nutrition_knowledge_to_health_concern,purchase_intention,health_concern,nutrition_knowledge,-0.0003318542293444757,0.21522880957169432,False,300,1.0017639268097487,0.0,0.03487801551818848,success
perceived_price_x_perceived_benefit_to_health_concern,perceived_price,health_concern,perceived_benefit,-8.067167199611637e-05,0.35959617905811925,False,300,1.0015435322470514,0.0,0.0407102108001709,success
perceived_price_x_purchase_intention_to_health_concern,perceived_price,health_concern,purchase_intention,-5.2010457249161655e-05,0.9041926845241364,False,300,0.7496444942516833,0.7498978730204703,0.03065633773803711,success
perceived_price_x_nutrition_knowledge_to_health_concern,perceived_price,health_concern,nutrition_knowledge,-0.00020357923797416466,0.453925329496226,False,300,1.0017595755452002,0.0,0.03506064414978027,success
nutrition_knowledge_x_perceived_benefit_to_health_concern,nutrition_knowledge,health_concern,perceived_benefit,-0.0007470927422641428,0.15466229428617218,False,300,1.0018141382008234,0.0,0.03375554084777832,success
nutrition_knowledge_x_purchase_intention_to_health_concern,nutrition_knowledge,health_concern,purchase_intention,-0.0003314823892305674,0.21578730676409785,False,300,1.001763919328151,0.0,0.03394126892089844,success
nutrition_knowledge_x_perceived_price_to_health_concern,nutrition_knowledge,health_concern,perceived_price,-0.00020303993991229537,0.455013075382924,False,300,1.0017595772013201,0.0,0.035062313079833984,success
health_concern_x_purchase_intention_to_perceived_benefit,health_concern,perceived_benefit,purchase_intention,3.499363518554039e-05,0.4977531605487795,False,300,1.0014334236106728,0.0,0.03727316856384277,success
