Factor,Items,Cronbach_Alpha,Composite_Reliability,AVE,Mean_Loading,Min_Loading,Max_Loading,Alpha_Acceptable,CR_Acceptable,AVE_Acceptable
health_concern,6,0.9026959868197127,0.9415311100906983,0.72897308933671,0.8528752179417666,0.7923956741103547,0.8902818619749195,True,True,True
perceived_benefit,6,0.806731414109459,0.8798046364302102,0.5601534058036001,0.7325280459770371,0.4530879636851542,0.8999069108125475,True,True,True
purchase_intention,3,0.9409770799066564,0.9539477216571295,0.8735058552650236,0.9345688709318246,0.9221364079429485,0.9445793775058382,True,True,True
perceived_price,3,0.7734279139907143,0.8664511174697932,0.690940594024854,0.8175461153471151,0.6177673703706158,0.9799235246924672,True,True,True
nutrition_knowledge,20,0.8100626504469417,0.8896787683692381,0.4433916060733211,0.4737475099523535,-0.7410855234050107,0.8657022686057256,True,True,False
