Percentile,Moderator_Value,Conditional_Effect,Std_Error,T_Value,P_Value,Significant
percentile_10,-6.716031746031746,1.5234884485370916,0.0455654303518426,33.43518182036624,0.0,True
percentile_25,-4.1565079365079365,1.524994253892565,0.045365983408570607,33.61536859365118,0.0,True
percentile_50,-0.09698412698412717,1.5273825312238039,0.04524178774704192,33.760437137537075,0.0,True
percentile_75,4.057777777777778,1.5298268385217582,0.04536015783954102,33.726223879851425,0.0,True
percentile_90,6.474444444444444,1.5312485989271587,0.04554263591321278,33.62230947381143,0.0,True
