Fit_Index,Value,Interpretation
CFI,1.001543621515299,Excellent
TLI,1.0023154322729486,Excellent
RMSEA,0.0,Excellent
AIC,7.9999999032147,N/A
BIC,22.815129801839504,N/A
DoF,6.0,N/A
