Moderator_Level,Moderator_Value,Simple_Slope,Std_Error,T_Value,P_Value,Significant
low,-25.548989967862262,0.2984580667861745,0.05295274049002108,5.636310113966977,1.7373240401852286e-08,True
mean,0.0,0.30106237814481146,0.052908150784959945,5.6902835135639185,1.2682861427748549e-08,True
high,25.548989967862262,0.30366668950344844,0.05295274049002108,5.734673724028963,9.770023901012337e-09,True
