Fit_Index,Value,Interpretation
CFI,1.0017640851031373,Excellent
TLI,1.0026461276547058,Excellent
RMSEA,0.0,Excellent
AIC,7.999999326001328,N/A
BIC,22.815129224626133,N/A
DoF,6.0,N/A
