Fit_Index,Value,Interpretation
chi_square,1100.1787828233516,Lower is better (non-significant preferred)
df,,N/A
p_value,,N/A
cfi,0.8676930184876417,"Good: >0.95, Acceptable: >0.90 - Poor fit"
tli,0.8529303447609996,"Good: >0.95, Acceptable: >0.90 - Poor fit"
rmsea,0.06324953857071801,"Good: <0.06, Acceptable: <0.08 - Acceptable fit"
srmr,,N/A
aic,165.3322498010706,Lower is better (for model comparison)
bic,492.0542180846758,Lower is better (for model comparison)
