no,q6,q7,q8,q9,q10,q11
239,3,3,4,4,3,4
240,4,3,4,3,3,3
241,4,4,4,4,4,5
242,4,4,3,4,5,4
243,4,3,3,4,4,3
244,4,4,4,5,5,5
245,3,4,4,4,3,3
246,3,4,3,4,4,5
247,4,4,3,4,4,4
248,4,4,4,4,4,4
249,4,3,4,4,4,4
250,4,4,4,4,4,4
251,4,4,4,4,4,4
252,4,4,4,4,4,4
253,3,3,2,2,3,2
254,4,4,4,3,5,4
255,4,4,4,4,5,3
256,4,4,4,5,5,4
257,3,3,3,3,3,3
258,4,4,5,4,4,4
259,3,3,3,3,3,3
260,2,3,4,3,5,2
261,5,4,4,4,5,4
262,3,3,4,4,4,4
263,4,3,4,4,4,4
264,2,3,3,4,4,4
265,2,3,2,3,2,2
266,4,3,5,4,4,4
267,4,4,2,5,4,4
268,5,5,4,4,4,4
269,5,4,3,4,4,3
270,3,2,3,3,4,4
271,4,4,4,4,4,4
272,4,3,3,4,3,4
273,4,4,4,4,3,4
274,3,3,4,4,4,3
275,4,4,4,4,4,4
276,3,3,3,3,3,3
277,4,4,4,4,4,4
278,1,1,1,1,1,1
279,4,4,4,3,3,3
280,3,1,4,2,5,3
281,4,4,3,3,3,3
282,3,3,3,3,4,3
283,2,2,2,2,2,2
284,4,3,4,4,4,4
286,4,3,4,3,3,3
287,4,4,3,4,4,4
288,4,4,5,5,4,4
290,3,3,3,3,3,3
292,4,3,3,3,3,2
293,4,4,4,4,4,4
294,4,3,4,4,4,4
295,3,3,4,3,3,3
296,3,3,3,2,3,3
297,3,4,3,4,4,3
298,4,3,4,4,4,4
299,5,5,4,5,4,5
300,2,2,4,4,3,3
301,4,5,3,4,5,3
302,5,5,5,5,5,5
303,5,5,4,4,4,4
304,3,4,2,4,3,3
305,3,3,4,4,4,4
306,4,4,4,4,4,4
307,4,4,3,4,4,3
309,4,4,4,4,5,4
310,4,5,5,4,4,4
311,4,3,3,3,4,3
312,4,5,5,5,4,3
313,5,4,4,5,4,4
314,3,3,2,2,3,2
315,3,4,3,4,3,4
316,4,3,3,4,4,3
318,4,4,4,4,4,4
322,4,4,4,4,4,4
323,3,3,3,4,4,3
324,4,4,5,4,5,5
330,3,3,4,3,3,3
333,4,4,3,4,5,4
335,5,5,5,5,5,5
336,5,5,5,5,5,5
343,4,3,4,4,4,4
346,4,3,4,4,3,4
347,4,4,3,4,4,3
348,5,4,4,4,5,4
349,3,4,3,3,4,3
351,3,4,3,4,4,3
352,4,3,3,4,5,4
353,4,4,5,5,5,5
357,4,4,4,4,4,4
359,4,4,4,4,4,4
377,4,4,4,4,4,4
385,4,3,4,4,3,4
394,3,3,2,2,2,2
395,5,5,5,5,5,5
397,5,5,5,5,5,5
400,3,3,2,3,3,3
402,2,3,2,3,4,3
